PRODUCTION_CODE_NUMBER,SEASON,EPISODE,AIRDATE,SHOWCASE_SHOWDOWN_ROUND,SPIN,SPINOFF_SPIN?,WINNING_SPIN?,BONUS_SPIN?,CONTESTANT,OUTFIT,GENDER,SCORE_BEFORE_SPIN,TOTAL_SCORE_TO_BEAT,START_SPACE,END_SPACE,REVOLUTIONS,TOTAL_SPACES,SCORE_AFTER_SPIN
6171D,15,1,"September 8, 1986",2,5,,,,APRIL,FORMAL,F,0,90,55,45,1,27,45
6171D,15,1,"September 8, 1986",2,6,,,,APRIL,FORMAL,F,45,90,45,5,2,44,50
6171D,15,1,"September 8, 1986",2,7,x,,,LAURA,CASUAL,F,N/A,N/A,5,55,1,29,55
6171D,15,1,"September 8, 1986",2,8,x,x,,DELORIA,FORMAL,F,N/A,55,55,85,2,43,85
0982K,27,,"January 19, 1999",1,1,,,,BRENDA,CASUAL,F,0,N/A,100,20,2,45,20
0982K,27,,"January 19, 1999",1,2,,,,BRENDA,CASUAL,F,20,N/A,20,30,2,47,50
0982K,27,,"January 19, 1999",1,3,,,,BRAD,FORMAL,M,0,50,30,45,4,83,45
0982K,27,,"January 19, 1999",1,4,,,,BRAD,FORMAL,M,45,50,45,65,1,38,BUST
0982K,27,,"January 19, 1999",1,5,,x,,LINDSAY,CASUAL,F,0,50,65,75,1,34,75
0982K,27,,"January 19, 1999",2,1,,x,,SHERRY,CASUAL,F,0,N/A,100,100,2,40,100
0982K,27,,"January 19, 1999",2,2,,,,BELINDA,FAN,F,0,100,100,15,2,41,15
0982K,27,,"January 19, 1999",2,3,,,,BELINDA,FAN,F,15,100,15,20,2,44,35
0982K,27,,"January 19, 1999",2,4,,,,LUCAS,CASUAL,M,0,100,20,70,1,31,70
0982K,27,,"January 19, 1999",2,5,,,,LUCAS,CASUAL,M,70,100,70,85,2,55,BUST
0982K,27,,"January 19, 1999",2,6,,,x,SHERRY,CASUAL,F,N/A,N/A,5,60,2,45,N/A
